"site","species","family","CBH","P50","P88"," MD LWP_2014","MD LWP 2015 (ENSO)"
"FN_Tapajos_Santarém_Para_Brazil","Amphyrrhox longifolia","violaceae","7,6","-2,282865289","-5,769292611","-2,12","-1,93"
"FN_Tapajos_Santarém_Para_Brazil","Chamaecrista xinguensis","Fabaceae","137","-3,141552457","-6,050517072","-2,68","-2,58"
"FN_Tapajos_Santarém_Para_Brazil","Coussarea albescens","Rubiaceae","38,25","-4,864573899","-6,641621844","-2,25","-3,21"
"FN_Tapajos_Santarém_Para_Brazil","Endopleura uchi","Humiriaceae","144,4","-1,520876871","-4,834118121","-1,1","-1,62"
"FN_Tapajos_Santarém_Para_Brazil","Erisma unsinatum","Vochysiaceae","332,5","-2,134771902","-3,243500743","-1,22","-1,06"
"FN_Tapajos_Santarém_Para_Brazil","Mezilaurus itauba","Lauraceae","228,5","-2,98455842","-5,541740932","-1,64","-1,98"
"FN_Tapajos_Santarém_Para_Brazil","Miconia sp","Melastomataceae","36,25","-5,017788897","-6,762205483","-1,96","-3,01"
"FN_Tapajos_Santarém_Para_Brazil","Protium apiculatum","Burseraceae","64,25","-1,944779171","-2,121676028","-1,38","-1,29"
"FN_Tapajos_Santarém_Para_Brazil","Rinourea pubifloraa","violaceae","6,78","-2,992232855","-7,299512239","-2,58","-4,43"
"FN_Tapajos_Santarém_Para_Brazil","Manilkara huberi","Sapotaceae","NA","-1,75236673702423","-4,51248935317064","NA","NA"
"FN_Tapajos_Santarém_Para_Brazil","Tachigalli chrysophylla","Fabaceae","NA","-3,7912609617917","-5,12992826012521","NA","NA"
